"Nombre","Direccion","Idioma","Valor_Cafeteria","Ciudad","Genero","Total_Profesores","Fundacion","Promedio_Alumnos","Total_Alumnos","Confesional","Valor_Transporte","Valor_Pension","Jornada","Calendario"
"Aspaen Gimnasio Iragua (Bogotá)","Av. Calle 170 # 76 - 55","Bilingüe Español Inglés",300000,"Bogotá D.C.","Femenino",65,1968,25,600,"Católico",300000,2000,"Diurna de 7:00 a.m. a 3:00 p.m.","B: Agosto a Junio"
"Bureche School (Santa Marta)","Km 2 Troncal del Caribe via Gaira","Bilingüe Español Inglés",216000,"Santa Marta","Mixto",82,1989,,828,"No",300000,920000,"8:00 - 12:30 / 2:45 | 7:00 - 2:45","B: Agosto a Junio"
"CAS – Colombo American School (Bogotá)","Carrera 73 No. 214-53","Bilingüe Español Inglés",3700000,"Bogotá D.C.","Mixto",110,1993,25,1200,"Si",370000,2000,"Lunes a Viernes 8:30 am a 3:00 pm","A: Febrero a Noviembre"
"Colegio Abraham Lincoln (Bogotá)","1. Cl 170 # 51 A 81 - 2. Cl 170 # 65-31","Bilingüe Español Inglés",,"Bogotá D.C.","Mixto",,1955,22,1300,"No confesional",,,"7:00am a 2:15pm | 7:00am a 3:30pm","B: Agosto a Junio"
"Colegio Abraham Maslow (Chía)","Calle 1ª Sur No. 5-03. Vereda La Balsa.","Bilingüe Español Inglés",350000,"Chía","Mixto",26,1993,17,290,"Católico",350000,1200,"Única","A: Febrero a Noviembre"
"Colegio Bilingüe Buckingham (Bogotá)","Carrera 52 # 214-55Bogota D.C.","Bilingüe Español Inglés",350000,"Bogotá D.C.","Mixto",79,1983,25,500,"Católico. Con estudiantes de diferentes",350000,1500,"7:30 a.m. - 2:50 p.m.","B: Agosto a Junio"
"Colegio Bilingüe Hispanoamericano Conde Ansúrez (Bogotá)","Carrera 67 No. 173 A – 80
B","Bilingüe Español Inglés",200001,"Bogotá D.C.","Mixto",36,1959,25,715,"Católico",200001,900000,"7:30 a.m. – 3:30 p.m","A: Febrero a Noviembre"
"Colegio Bilingüe Leonardo Da Vinci (Envigado)","Carrera 40B No. 53B sur 30","Bilingüe Español Italiano",150001,"Envigado","Mixto",20,1985,12,152,"No",150001,600001,"Completa","B: Agosto a Junio"
"Colegio Bilingüe Richmond (Bogotá)","Carrera 53 No. 222 – 76","Bilingüe Español Inglés",,"Bogotá D.C.","Mixto",56,1989,20,,"Laicos",,1500,"7:00 a.m. 2:40 p.m.","B: Agosto a Junio"
"Colegio Británico de Cartagena (Cartagena)","Sede principal- Anillo vial KM 12 | Sede","Bilingüe Español Inglés",350599,"Cartagena","Mixto",94,1982,25,895,"",310123,900000,"","B: Agosto a Junio"
"Colegio Calasanz (Bogotá)","Carrera 20A # 172A - 10","Bilingüe Español Inglés + Francés",322000,"Bogotá D.C.","Mixto",84,1949,30,1000,"Colegio Católico",330000,1000,"Lunes a Jueves 6:45 am a 2:45 pm y Viern","A: Febrero a Noviembre"
"Colegio Calatrava (Bogotá)","1. Cra. 80 No. 156-95 2.Tr. 88 No.157-85","Bilingüe Español Inglés",128000,"Bogotá D.C.","Mixto",33,2002,18,330,"Laico",326000,1020,"7:00am - 3:30pm","B: Agosto a Junio"
"Colegio Cambridge (La Calera)"," Calle 127A No 7 - 19 Oficina 506","Bilingüe Español Inglés",280000,"La Calera","Mixto",110,2000,17,1470,"No Confesional",400000,700000,"7:00am a 3:00pm","A: Febrero a Noviembre"
"Colegio Campestre San Diego (Chía)","Vía Guaymaral / Vereda la Balsa","Bilingüe Español Inglés",275000,"Chía","Mixto",28,1994,15,200,"Católico y libertad de cultos",334000,1600,"7:30 am - 2:30 pm | 7:30 am - 1:45 pm Mi","B: Agosto a Junio"
"Colegio CDI Open Doors (Bogotá)","Cll 114A # 47A - 82","Bilingüe Español Inglés",,"Bogotá D.C.","Mixto",12,1999,6,48,"No Confesional",220000,1500,"Mañana extendida","Flexible"
"Colegio Claustro Moderno (Bogotá)","Carrera 7 No. 174 – 80","Intensivo Inglés",339570,"Bogotá D.C.","Mixto",63,1966,,580,"Laico",358341,916000,"8:00 am. – 4:00 pm.","A: Febrero a Noviembre"
"Colegio Clermont (Bogotá)","Carrera 73 # 213A - 51","Bilingüe Español Inglés",514500,"Bogotá D.C.","Mixto",75,1982,23,500,"No",513000,1461,"Diurna 7:30 a 3:00 pm","B: Agosto a Junio"
"Colegio Colombo Gales (Bogotá)","Avenida Guaymaral
Costado Sur","Bilingüe Español Inglés",280000,"Bogotá D.C.","Mixto",69,1986,28,870,"No",300000,1000,"Única","B: Agosto a Junio"
"Colegio Colombo Hebreo (Bogotá)","Av. calle 153 No 50-65","Bilingüe Español Inglés",,"Bogotá D.C.","Mixto",53,1948,24,250,"No",389000,2800,"7:25 am a 3:25 pm","B: Agosto a Junio"
"Colegio Conquistadores (Medellín)","Parte alta Belén, Vereda Aguas Frías","Bilingüe Español Inglés",,"Medellín","Mixto",27,1968,22,320,"Católico",190000,715000,"8:00 am a 2:00 pm hasta 5º - 7:00 am a","A: Febrero a Noviembre"
